source_deck,source_path,source_sha256,source_page,title,duplicate_cluster,disposition,concrete_reason,evidence_status,proposed_target_chapter_page_role,peer_page,peer_text_similarity,peer_exact_visible_text_hash,peer_exact_normalized_text_hash,peer_exact_slide_xml_hash,visible_text_sha256,normalized_text_sha256,notes_sha256,media_count,layout_name
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,1,2026高效率節能人工智慧模型服務平台培訓,PAIR-S001,RETIRE,Satellite-first title cannot open the C120 smart-energy/IoT story; replace from zero.,EXACT_TEXT_AND_XML_HASH + rendered contact-sheet review; notes present,C120 opening slide: endpoint energy decision and course promise,1,1.0,True,True,True,7c638abfabf7b7474a8784a17d8f801e977dd5d5f6f274347f11e25d6c77dc3e,fa3668a1c6c47e0173fb21298fbd34cbca7879deb8d87ee7de693316c37ae5f2,f9ff0d290e5aa5658bc404caf0f8baee67136aa451a9080d4187dbc5fe112a74,0,標題投影片
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,2,通訊核心問題：資料要送達，鏈路卻會變,PAIR-S002,ADOPT,Useful causal opener: service outcome changes as the link changes; rewrite around endpoint packet and energy consequences.,CORRESPONDING_PAGE_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9868; notes present,Core 1–5: why endpoint sleep/process/TX/RX and delivery are energy decisions,2,0.9868,False,False,False,522e413a24e753b01cc529a751cca33708f272714ca046abe7765d060a5df791,94717ec5d6c5d5bddb9afa83a4f366c89b9d4ef89b449f3f6424cdb62ab7ffd5,6aabe22e9504b535ba7d439e9cc4226f4e20ab484d38263082ad2efb95f7cccd,0,只有標題
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,3,衛星平台與通訊酬載分工,PAIR-S003,RETIRE,Payload/platform specialist framing delays the IoT energy question; rewrite the bridge from endpoint state to observable evidence.,CORRESPONDING_PAGE_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9927; notes present,"C120 opening bridge, rebuilt without satellite-specialist framing",3,0.9927,False,False,False,0b69bb5ccd8f8a75df92f79c4a3e775231bfa44a922a6f1d1f143620e5e2c856,9fe166292e11ceb23c4050ab64df650296166f819bf7ef3725c28c1b73c3024a,0087cbcc720d6b631641f09e1488922729c014fcab78009808fe55f3c2ce2f3d,0,只有標題
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,4,服務窗口隨衛星移動而改變,PAIR-S004,ADOPT,Changing-window and visibility diagrams provide a compact service example; relabel LEO as one example and connect the window to endpoint policy.,CORRESPONDING_PAGE_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9840; notes present,"Core 6–8: changing service window, transfer to IoT, and course route",4,0.984,False,False,False,9370ac66147c2d82eeb362aecc693fd8547718e5c40ca805bf8e90c67e386c29,87258af8fca6e69e65aabebaa47aa9de74b550a5b5431092873c9448dd8d54f5,ecbbb9359518ece634b649f58bad0f098ae893fc0afb673009cf6415f1b0920c,1,只有標題
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,5,可見性是必要條件，不是服務資格,PAIR-S005,ADOPT,Changing-window and visibility diagrams provide a compact service example; relabel LEO as one example and connect the window to endpoint policy.,CORRESPONDING_PAGE_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9924; notes present,"Core 6–8: changing service window, transfer to IoT, and course route",5,0.9924,False,False,False,b524e96903310d5e28a7c44f54af5087fb31e01e738d1040ad25bc8e725a1303,f7dfbae9d1a14f29bb39f34b43342db8291d168ed766949e9297bb4fa515c297,4920eda3338e48f96fe1e74f94840d096cc59db420d5c83bb7751a8465e2f97b,1,只有標題
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,6,重疊把即將中斷的服務轉成換手機會,PAIR-S006,ADOPT,Changing-window and visibility diagrams provide a compact service example; relabel LEO as one example and connect the window to endpoint policy.,CORRESPONDING_PAGE_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9923; notes present,"Core 6–8: changing service window, transfer to IoT, and course route",6,0.9923,False,False,False,bf7e970086220aa805b581c929864367a64f94e8f7c0ccad007181700a62aadb,dd6e152753cf81dbb9aebc73615caf1a72275e26a0604281237cf87f5af6ce3a,ffad8902996de3e70d2de096a7761e65f421385258b253b7b4cfc01bccfd95af,0,只有標題
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,7,"兩行軌道元素集（Two-Line Element Set, TLE）",DUP-TLE-07-98,APPENDIX,TLE/SGP4/TEME provenance is optional source deepening; keep one concept per page and never require the derivation.,SEMANTIC_DUP_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9970; notes present,Appendix APP-10–APP-12: selected TLE/SGP4/source lineage,7,0.997,False,False,False,619e2f0dd3eadd033b0b7956fa83e88e282aee1b95d2ad2ae336b0ccb847e360,8863da9b4a2204a9402cded16c1e7495a728d64a34eb40047b8326336c3bb1f2,b953b9544c78434517f8ebf78be49986cd9e45fb72232d176dde4949f0ed0d17,0,只有標題
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,8,TLE + 目標時間 → SGP4 → TEME 狀態,PAIR-S008,APPENDIX,TLE/SGP4/TEME provenance is optional source deepening; keep one concept per page and never require the derivation.,CORRESPONDING_PAGE_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9931; notes present,Appendix APP-10–APP-12: selected TLE/SGP4/source lineage,8,0.9931,False,False,False,abbfd4bc893e72cc85d0d2ca14d623d86406a0292010d1b672bda867e43b0069,af913782432723ebc7de74347186e55e98264f893459227ade30047bef451b25,0cedf7062a43bf31af0ada314158ce042ac52665aefc7d3a45e76d4e650b9b34,0,只有標題
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,9,TEME 是慣性參考，還需座標轉換,PAIR-S009,APPENDIX,TLE/SGP4/TEME provenance is optional source deepening; keep one concept per page and never require the derivation.,CORRESPONDING_PAGE_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9925; notes present,Appendix APP-10–APP-12: selected TLE/SGP4/source lineage,9,0.9925,False,False,False,c4befe688648208107f97981fd66449d45a1583e05cd06e0f246ef535eef9abf,d17c7e2e25a56bec88c09ae4a7a3d91d7d1ca96f174aa58d016415ce95ba4d5f,e02901b4f6097377c0034b0d2dad46d805f03e3f664918055f84bab5ce23a42e,1,只有標題
e2,/home/u24/papers/beamshift/e2.pptx,60ba796c908387cdfe06c2b82e592bcce3205e2472c42566467bbbd89dcad024,10,座標鏈把 SGP4 狀態變成地面觀測者看到的量,PAIR-S010,APPENDIX,TLE/SGP4/TEME provenance is optional source deepening; keep one concept per page and never require the derivation.,CORRESPONDING_PAGE_REVIEW + rendered contact-sheet review; peer visible-text similarity 0.9920; notes present,Appendix APP-10–APP-12: selected TLE/SGP4/source lineage,10,0.992,False,False,False,0a29921d7b23d12731ecd6ef6915b3e445d1615f1a989865a03a3077fe5a7762,96806c2a06e193b529d9ef1669c7a7404e73f3aeb00452ccaf368114171dcd7e,a3dcdaa01b63e66f997c01e2b537d133ee663227bd6b687c8bbce89e322d02f0,1,只有標題
